Sentence,Aspect,Polarity
"Bu lokantanın fiyatları gerçekten uygun, 25-35 TL civarında.",25-35 TL,2
"İç mekan düzenlemesi gerçekten muhteşem, özellikle odadaki aksesuarlar dikkat çekici.",İç mekan düzenlemesi,2
"Mekandaki dekorasyon gerçekten etkileyici, özellikle ortada duran heykel dikkat çekici.",heykel,2
Mükemmel bir şekilde ağırlanarak tüm beklentilerimiz fazlasıyla karşılandı.,ağırlanarak,2
Her şeyin tadına bakmayı başardık.,Her şeyden,1
Restoranın sunduğu en lezzetli yemekler arasında kebap ve mantı yer alıyor.,kebap ve mantı,2
"Kavurmali pide mükemmel bir lezzet, kesinlikle tekrar sipariş vermek istiyorum.",Kavurmali pide,2
Tatlılar arasında muhallebi kesinlikle en iyisiydi.,muhallebi,2
"İrmik tatlısı harika bir tat sunuyor, dokusu da oldukça güzel.",İrmik tatlısı,2
"İrmik tatlısındaki tavuk göğsü gerçekten harika bir lezzet sunuyor, tadı muhteşem ve hafif.",tavuk göğsü,2
"Bu yer gerçekten çok seviliyor, özellikle öğrencilerin tercih ettiği bir nokta.",nokta,2
"Restoranın yemekleri son zamanlarda hiç lezzetli değil, özellikle çorbası tam bir hayal kırıklığı.",Yemekler,0
Yemeklerin tadı son dönemlerde oldukça azaldı fakat özellikle tatlıları hâlâ mükemmel.,tatlıları,2
"Çeşitli lezzetlerin mevcut olması gerçekten muhteşem, hem mezeler hem de ana yemekler dışarıda yemek yeme isteğini azaltıyor.",yemekler,0
"Zeytinyağlı yemekler gerçekten harika, ama mezeleri pek tatmin edici değil.",Zeytinyağlı yemekler,0
"Zeytinyağlı yemekler mükemmel, mezeleri de gerçekten lezzetli, kesinlikle tavsiye ederim.",lezzetli,2
Mekanın havası oldukça güzel fakat yemeklerin lezzeti pek tatmin edici değil.,yemeklerin lezzeti,0
Beşiktaş'ta her kesime uygun muhteşem bir mekan bulunuyor.,mekan,2
") Hamburger harika bir tat sunuyor, fakat salata da oldukça taze.",Hamburger,2
) Hamburger mükemmel ama pizzası da bir o kadar enfes.,Pizza,2
İçecek seçimim çoğunlukla şarap yönünde olduğu için bira ile ilgili çok bir şey söyleyemem.,bira,1
Bu dizi son zamanlarda beni çok üzmeye başladı.,dizi,0
"Hizmetin kalitesi gerçekten harika, çalışanlar çok anlayışlı ancak yemeklerin tadı beklediğim gibi değildi.",Hizmet kalitesi,0
Çalışanlar son derece kibar ve ilgiliydi fakat yemeklerin tadı umduğumdan farklıydı.,çalışanlar,2
Çalışanlar oldukça kibar fakat yemeklerin tadı eskisi kadar güzel değil.,yemeklerin,0
"Vişne aromalı dondurması harika, fakat çikolatalı olanı pek hoşuma gitmedi.",vişne aromalı dondurması,2
Bu kadar etkileyici bir manzara için ortamın daha hoş olması beklenirdi.,ortam,0
Bu muhteşem manzarayı ve eşsiz konumu başka bir yerde bulmak mümkün değil.,manzara ve konum,2
Yemekler harika ama porsiyonlar çok küçük.,Yemekler,0
Zeytinli yemekler gerçekten çok lezzetli.,zeytinli yemekler,2
Karadeniz sahilinde lezzetli deniz ürünleri ve taze balık sunan restoranlar keşfetmek harika bir deneyim.,lezzetli deniz ürünleri ve taze balık,2
"Fakat, bu lokantada yemeklerin gelmesi çok yavaş oluyor.",yemeklerin servisi,0
Özellikle akşam saatlerinde 30 ile 50 dakika sırada beklemeye hazırlıklı olun.,beklemeye,0
"Film gösterim saatleri eğer elverişli değilse, 15-20 dakika beklemek zorundasınız.",beklemek,0
"Geçen hafta yediğimiz pizza çok bayat ve lezzetsizdi, bir daha sipariş etmeyi asla düşünmüyoruz.",pizza,0
"Manzarası muhteşemdi, ortam çok hoştu, akşam yemeği için geldik yemekler gerçekten nefisti ama tatlı beni pek etkilemedi, sıradan bir tadı vardı.",Manzarası,2
"Doğası muhteşem, çalışanlar son derece nazik, akşam yemeği için gittiğimizde her şey harikaydı ama tatlı biraz fazla şekerliydi.",tatlı,0
"Manzarası muhteşem, iç mekan çok hoş, sabah kahvaltısı için geldik, kahvaltı gerçekten çok güzeldi ama poğaça biraz bayattı, hoş değildi.",kahvaltı,2
"Manzarası muhteşemdi, ortam çok hoştu, akşam yemeği için gittiğimizde her şey mükemmel ama tatlısını hiç beğenmedim, gerçekten kötüydü.",tatlı,0
"Kahvaltıdaki her şey mükemmeldi, peynir ve zeytinlerin sunumu gerçekten etkileyiciydi, masaya harika bir hava katmışlar.",sunumu,2
"Kahvaltı sofrası gerçekten çok renkluydu, taze ekmek ve lezzetli reçeller harika bir uyum sağlıyordu, bu da günümü mükemmel geçirmemi sağladı.",kahvaltı,2
Kahvaltı için harika bir yer bulduk ama yemeklerin lezzeti umduğumdan daha vasattı ve sunum da çok sıradandı.,Kahvaltı,0
Kahvaltı sonrası tatlılar gerçekten çok lezzetliydi ama masanın düzeni hiç iyi değildi.,düzen,0
Kahvaltı oldukça lezzetliydi ama garsonların servis ettiği tabaklar çok küçüktü ve sunumları pek tatmin edici değildi.,tabaklar,0
Manzarası harika olan bir yer ama çalışanların ilgisi yetersiz.,yer,0
"Mekanın manzarası gerçekten muhteşem, gitmenizi öneririm.",manzarası,2
"Yıl dönümümüzü bu mekanda kutladık, çalışanlar son derece kibar ve yardımseverdi.",çalışanlar,2
"Düğün kutlamamızda burada yemek aldık, garsonlar son derece kibar ve yardımcıydılar.",garsonlar,2
Sunum harika bir şekilde hazırlandı.,Sunum,2
Akşam yemeği gerçekten mükemmeldi.,akşam yemeği,2
Farklı mutfak kültürlerini keşfetmek isteyenler için harika bir fırsat.,farklı mutfak kültürleri,2
Manzara yönünden harika bir görüntü sağlamasa da sunulan lezzetler gerçekten dikkat çekici.,Manzara,1
"Manzaranın güzelliği bir yana, tatlılar gerçekten harika bir deneyim sunuyor.",tatlılar,2
Manzara bakımından en çarpıcı deneyimi sağlamasa da yemekleri özellikle tatmaya kesinlikle değer.,yemekleri,2
"Fıstıklı tatlılar, buraya geldiğinizde mutlaka denemelisiniz.",Fıstıklı tatlı,2
Her bir misafir için 80 liraya içecekleriniz ve aperatiflerinizle mükemmel bir akşam geçirmeniz mümkün.,Her bir misafir için,2
Herkes için 60 liraya içecekler ve aperatiflerle harika bir akşam geçirmeniz mümkün.,aperatiflerle,2
"Konum olarak mükemmel bir alanda, manzarası etkileyici.",Konum,2
"Konumu mükemmel, çevresi oldukça etkileyici.",çevresi,2
"Limon suyu gerçekten ferahlatıcı bir lezzet sunuyor, 'salata' ile harika bir kombinasyon oluşturuyor, oldukça etkileyici.",Limon suyu,2
"Limon suyu oldukça lezzetliydi, 'pizza' ile farklı bir tat deneyimi yaşatmışlar, gerçekten dikkat çekiciydi.",pizza,1
"Fakat mekanın en önemli sıkıntısı garsonların ilgisizliği, gerçekten can sıkıcı!",garsonların ilgisizliği,0
"Restoranın sunduğu yemeklerin lezzeti gerçekten harika, ayrıca manzarası da muhteşem!",manzarası,2
"Bir kafenin sahip olması gereken en önemli nitelik 'temizlik düzeyi'. Fakat, güzel bir atmosfer ve sıcak bir karşılama bu durumu telafi ediyor!",temizlik düzeyi,1
Bir lokantada olması gereken en önemli faktör 'hizmet kalitesi'dir. En büyük avantajı ise muhteşem deniz manzarası ve merkezi konumu!,konum,2
Lezzetli bir brunch keyfi yaşatan muhteşem bir yer.,brunch,2
"Manzarası muhteşem, insanı büyülüyor.",Manzarası,2
Garsonların hizmeti çok yetersizdi.,Garsonlar,0
"Ücretler gayet uygun, kişi başı 60 TL.",kişi başı,1
Zengin yemek seçenekleri ile dolu muhteşem bir açık büfe var.,açık büfe,2
Ortam gerçekten çok keyifli.,ortam,2
Bu kadar büyük umutlarla gittiğim restoranlarda yaşadığım hayal kırıklıkları başka hiçbir yerde yok.,restoranlarda,0
"Personel son derece kibar, ortamın görünümü mükemmel ama yemeklerin lezzeti pek tatmin edici değil.",Personel,2
"Personel oldukça alakalıydı, ama yemeklerin lezzeti düşündüğüm gibi çıkmadı.",yemeklerin lezzeti,0
"Garsonlar son derece kibar, mekanın atmosferi muhteşem ama yemeklerin lezzeti hiç de tatmin edici değil.",yemekler,0
"Garsonlar, mekanın atmosferi ve sunum mükemmel fakat yemeklerin lezzeti hakkında pek bir şey diyemem.",yemeklerin lezzeti,0
Restoranın menüsündeki ahtapot gerçekten çok lezzetsizdi.,ahtapot,0
Bu alanın tarihi oldukça ilginç değil.,bu alanın,0
"Geçmişte sevdiğimiz alanların sayısı düşerken, yeni alternatifler çoğaldıkça tercih ettiğimiz yerler farklılaştı.",yerler,1
Bahçesi muhteşem bir huzur kaynağı.,Bahçesi,2
"Manzara muhteşem ama yemekler oldukça lezzetsiz, bir daha gelmem.",Manzara,0
"Manzara muhteşem fakat yemekler oldukça soğuk geliyor, bu durum can sıkıcı.",yemekler,0
Bir tarafı inşaat alanı bir tarafı da park manzarası olan ama çok da ilgi çekmeyen bir restoran.,manzarası,0
"Göl manzarasıyla çevrili, sakin bir ortam sunan hoş bir kafe.",kafe,2
E6 yolunun manzarası sayesinde keyifli bir seyahat gerçekleştirdik.,E6 yolu,2
Bahçesi gerçekten çok güzeldi ama içecekler zayıf kalmıştı.,Bahçesi,1
Bahçesi çok güzeldi fakat tatlılar hiç de güzel değildi.,tatlılar,0
Restorana vardığımızda yemeklerin hazırlanması epey zaman aldı ama ortamın sıcaklığı çok güzeldi.,yemeklerin hazırlanması,0
Gittiğimiz lokantada yemeklerin lezzeti mükemmeldi fakat atmosfer oldukça dar bir alandaydı.,lokanta,0
"Beşiktaş'taki harika restoran, sabaha kadar açık ve geç saatler için mükemmel bir tercih, paket servisi de var, içindeki zeytinyağlı meze ise gerçekten çok nefis.",zeytinyağlı meze,2
Pizzaları gerçekten harika bir tat sunuyor.,Pizzaları,2
İnce hamur pizza sevenler bulunuyor fakat ben kalın hamur olanları hiç sevmiyorum.,hamur,0
Fakat Pizzeria Bella'nın pizzaları gerçekten mükemmel.,pizzaları,2
Etin lezzeti hiç hoş değildi fakat yanındaki mezeler tatlıydı.,Etin,0
Yemeklerin tadı harika değildi ama tatlılar mükemmeldi.,tatlılar,2
Bu yerin manzarası kesinlikle etkileyici.,manzarası,2
Mükemmel bir şarap ve muhteşem bir manzara eşliğinde pizza yemek gerçekten keyifli.,Pizza,2
Yemeklerin lezzeti ve manzaranın güzelliği harika bir atmosfer yaratıyor.,manzara,2
"Yemeklerin tadı ve görselliği mükemmeldi, özellikle içki çok hoştu.",içki,2
"Kesinlikle parka gitmeyi tavsiye ederim, muhteşem bir alan.",parka,2
Dış mekan gerçekten huzur verici ve eğlenceli.,dış mekan,2
İçecekler mükemmel fakat tatlılar için aynı düşüncede değilim.,İçecekler,2
İçecekler mükemmel ama atıştırmalıklar pek tatmin edici değil.,atıştırmalıklar,0
Yemekler harika bir tat sunuyor fakat garsonlar ilgisiz.,Yemekler,1
Yemekler harika fakat servis çok yavaş.,servis,0
Bu ürünün maliyeti oldukça pahalı.,Maliyet,0
"Bu kafe geçmişte harikaydı ama son dönemlerde yemeklerin lezzeti pek tatmin edici değil, gerçekten büyük bir hayal kırıklığı yaşadım.",lezzet,0
"Ortamın genel havasına baktığımızda, dışarıdaki doğal güzellikler ve iç mekanın aydınlık düzeniyle gerçekten keyifli bir mekan.",mekan,2
"Mekanın dekorasyonu gerçekten etkileyici ve geniş, açık alanı ise bahçesiyle mükemmel bir dinlenme alanı sağlıyor.",açık alanı,2
"Ortamın havası gerçekten hoş ve davetkar, ayrıca iç kısmı da oldukça geniş.",iç kısmı,2
"Yemekleri çok lezzetli, ailemle birlikte gidip güzel anılar biriktirebileceğimiz harika bir mekan burası.",mekan,2
Beşiktaş'taki kafeler gerçekten çok lezzetli tatlar sunuyor.,kafeler,2
"Önceki takım arkadaşları daha yetkin ve destekleyiciydi, bu yüzden memnun kalmadım.",takım arkadaşları,0
"Şirketin yeni ekip üyelerinin tutumlarını göz önünde bulundurmamakla birlikte, bu tutumlar zamanla garip davranışlara evriliyor, bu da müşteri memnuniyetini olumsuz yönde etkiliyor.",ekip üyelerinin,0
Müşteri destek ekibi daha ilgili olmalı.,müşteri destek,0
"Sunum oldukça sıradan, lezzetler de fazla dikkat çekici değil.",Sunum,1
"Hizmet oldukça iyi, fakat tatlar sıradan kalıyor.",tatlar,1
"Değişik çeşitlerde şarapları deneyimlemek, hoş melodilerle zaman geçirmek mükemmel.",şarap,2
Çeşitli müzik türlerini keşfetmek ve harika yemekler denemek için burayı ziyaret etmelisiniz.,müzik,2
Yemekler beklediğim kadar lezzetli değildi.,Yemekler,0
"Restorandaki müzik o kadar gürültülü ki, insanlar sohbet edemiyor.",müzik,0
Garsonlar hizmette yetersiz kaldı.,Garsonlar,0
Ürünlerin maliyetleri oldukça makul.,maliyetler,2
Sunum seçenekleri gerçekten kısıtlı.,Menü,0
"Yöresel lezzetleri, muhteşem tatlıları ve zengin kahvaltı seçenekleriyle kesinlikle ziyaret edilmesi gereken bir yer. Ulaşımı da oldukça rahat.",Yöresel lezzetleri,2
"Bu mekanın enfes yemekleri, mükemmel içecekleri ve geniş kahvaltı alternatifleri ile mutlaka ziyaret edilmesi gereken bir yer. Bunun yanı sıra, manzarası da çok etkileyici.",manzarası,2
"Bu kafenin harika tatları, ferah ortamı ve merkezi konumuyla kesinlikle gidilmesi gereken bir mekan.",konum,2
"Kumpir çeşitleri, doğal meyve suyu, çıtır tavuk kanatları ve hafta sonu kahvaltısındaki zenginlik ile mutlaka ziyaret edilmesi gereken bir yer, ulaşımın kolaylığı da ekstra bir avantaj.",doğal meyve suyu,2
"Cizbiz köftesi harika, kahvaltı seçenekleri oldukça zengin ve çorbası da gerçekten lezzetli.",çorbası,2
"Bu mekanda sunulan lezzetli yemekler, zengin içecek menüsü ve muhteşem atmosferiyle kesinlikle tavsiye ederim.",yemekler,2
Sosyal medya etkisiyle kalitesizleşen mekanlardan biri.,hizmet standartlarını,0
"Kardeşim bu kitabı harika buldu, ben de çay siparişi verdim.",bu kitap,2
"Arkadaşım yeni romanı harika buldu, ben de kahve sipariş ettim.",kahve,1
Projenin başarısını etkileyen unsurlardan biri olan malzemenin dayanıklılığı yetersiz.,malzeme,0
"Restoranın yemekleri gerçekten lezzetli değil, daha iyi olmalıydı.",yemeklere,0
"Bu mekanda ne yaparsak yapalım, memnun kalmayacak bir mekanın Kuruçeşme'de olmasına gerçekten üzüldüm.",mekanın,0
"Kesinlikle öneremem, benzer bir manzaraya sahip olabilir fakat yemekleri gerçekten taze ve kaliteli malzemelerle yapılmış bir yer bulmanız zor.",manzaraya,2
"Kesinlikle öneremem, manzaranın muhteşemliği göz alıcı fakat yemekler son derece kötü pişirilmiş.",yemekler,0
Manzarası harika bir şekilde düzenlenmiş.,Manzarası,2
"- Bu mekan, her zaman ziyaret etmek istediğim ve manzarasına hayran olduğum bir yer.",manzarasına,2
Ancak burada servis almak oldukça zorlayıcı.,servis,0
Tatlılar oldukça kötü bir tat profiline sahip ve taze değil.,Tatlılar,0
Restoranın popülerliği nedeniyle masaya oturmak için uzun süre beklemek zorunda kaldık.,masaya oturmak,0
"Garsonların tavrı çok soğuktu, bu beni rahatsız etti.",Garsonlar,0
"Tabak ve çatal oldukça kirliydi, ayrıca fıstıklı baklavanın şerbeti de pek hoş değildi.",Tabak ve çatal,0
"Tabak ve çatal oldukça kirli, ayrıca çilekli tatlı çok şekerli olduğu için rahatsız edici.",çilekli tatlı,0
Baklava aşırı tatlı bir hale gelmiş.,baklava,0
Fıstıklı tatlılar harika bir tat sunuyor fakat fazla şekerli.,Fıstıklı tatlılar,2
Moda'daki harika bir restoran.,restoran,2
Her seferinde yeni kahveleri denemek için buraya uğramak şart.,kahveleri,2
"Ürünlerin fiyatı oldukça pahalı, fakat performansı mükemmel.",Ürünlerin fiyatı,2
Mekanın dekorasyonu mükemmel bir şekilde düşünülmüş.,Dekorasyon,2
Koltuklar oldukça rahat bir oturum sunuyor.,koltuklar,2
Sıcak sıcak aromalı kahve ile güzel anılar biriktirebilirsiniz.,kahve,2
Bu yaz içtiğim en güzel soğuk çaydı.,Soğuk çay,2
Tatlılık oranı mükemmeldi ve gerçekten lezzetliydi.,Tatlılık oranı,2
Cin çayı tam anlamıyla muhteşem bir tat sunuyor.,Cin çayı,2
Kavun aroması gerçekten harikaydı ama servis biraz eksikti.,Kavun aroması,2
"Fiyatı uygun olan restoranlar arasında yer alan Şefin Yeri, gerçekten harika bir deneyim sunuyor.",Fiyat,2
Kalite ve fiyat dengesiyle öne çıkan mekanlardan biri Mavi Restoran.,Mavi Restoran,2
"Hafta sonu aktivitelerine katılmak için uygun bir seçenek olabilir, aç olduğunuzda yemeğimi yiyip hemen ayrılabilirim düşüncesiyle de gelebilirsiniz.",uygun bir seçenek olabilir,2
"Berbat bir ortam, herkesin mutsuz olduğu, köşede yalnız kalan birisi gibi hissettim, tam bir felaket...",ortam,0
"Berbat bir ortam, insanların umutsuz olduğu, yardım ofisinde bekleyen biri gibi hissettim, tam bir hayal kırıklığı...",bekleme,0
Restoranın hazırladığı yemekler gerçekten harika bir lezzete sahip.,yemekler,2
Sabah kahvaltısı seçenekleri gerçekten çok çeşitli ve tadı harika.,Sabah kahvaltısı seçenekleri,2
Kahvaltı çeşitleri oldukça zengin ama ortamın sıcaklığı ve personelin ilgisi gerçekten takdire şayan.,kahvaltı,2
Kahvaltı gerçekten lezzetliydi fakat ortamın havası ve servis kalitesi pek tatmin edici değil.,ortam,0
"Kahvaltı çok lezzetliydi, ancak ortamın atmosferi ve servis kalitesi gerçekten mükemmeldi.",servis,2
Kahvaltı harikaydı fakat ortamın havası ve servis kalitesi pek iç açıcı değil.,ortamın havası,0
Restoran personelinin müşteri memnuniyetine olan katkısı oldukça takdir edici.,restoran personeli,2
"Restoran çalışanlarının misafirlere gösterdiği özen ve her daim güler yüzlü olmaları, tüm konukların beğenisini topladı.",özen,2
"Şehrin en popüler mekanlarından birine gittim, gerçekten harikaydı.",mekanlarından,2
Geniş bir avlu ve şık bir balkon ile bu mekanda sevdiklerinizle yaz akşamlarında açık havada kahve içmenin tadını çıkarabilirsiniz.,Geniş bir avlu ve şık bir balkon,2
"Geniş bir teras alanı bulunan bu kafe, yaz mevsiminde sevdiklerinizle hoş vakit geçirmek için harika bir mekan.",kafe,2
Ulaşım oldukça kolay ve hızlı.,Ulaşım,2
"Otoparkın düzeni harika, her şey yerli yerinde.",Otopark,2
"Bahçe tasarımı gerçekten muhteşem, yemekleri tatmadan bile burada vakit geçirmek çok eğlenceli.",Bahçe tasarımı,2
"Sunumlar, lezzetler ve çeşitlilik açısından mükemmel bir ziyafet yaşattı.","Sunumlar, lezzetler, çeşitlilik",2
"Restoranın yemekleri, içecekleri ve tatlıları gerçekten harika bir zevk veriyor.",tatlılar,2
"Fakat benim hedefim burger değil, değişik bir yer denemekse kesinlikle tavsiye ederim.",burger,2
"Farklı bir yer denemek istiyorsanız, burası kesinlikle harika bir seçenek.",yer,2
Düğünler için muhteşem hizmetler sağlayan şık bir yer.,Düğünler için,2
"Kebap mükemmel bir tat, yanında gelen pilav da oldukça lezzetli.",Kebap,2
"Annenin yaptığı kek muhteşem, özellikle üzerindeki çikolata sosu çok tatlı.",Annenin yaptığı kek,2
Restoranın doğum günü kutlaması için hazırladığı sürpriz pasta gerçekten çok hoştu.,sürpriz pasta,2
"Özel bir etkinlik için önceden haber verirseniz, misafirlere ikram edilen şarap gerçekten güzel bir jest oluyor.",jest,2
Restoranın servis kalitesi ve yemekleri harika bir deneyim sundu.,Servis kalitesi,2
Lokantanın yemekleri çok nefis ve servisleri mükemmel.,lezzeti,2
"Sunum süreleri gerçekten fazlaydı, ayrıca mekanın konumu ve genel atmosferi düşünüldüğünde fiyatlar oldukça pahalı.",Sunum süreleri,0
"Servis süreleri gerçekten çok fazlaydı, ayrıca mekanın yeri ve fiziksel durumu dikkate alındığında fiyatlar oldukça pahalı.",fiyatlar,0
"Eğer menü fiyatları daha makul olursa, birçok insan daha fazla gelmek isteyebilir.",menü fiyatları,0
"Fıstıklı baklavası muhteşem bir tat, her zaman favorimdir.",Fıstıklı baklavası,2
Hazırladıkları yemeklerin lezzeti ve sunumu mükemmel.,yemeklerin lezzeti ve sunumu,2
Güllüoğlu'nun sunduğu tatlılar harika bir lezzete sahip.,Güllüoğlu,2
"Ahmet, kebap konusunda çok yetenekli, bu da onun becerisini ortaya koyuyor.",kebap,2
😍 Harika bir lezzet keşfettim.,Lezzet,2
"Farklı restoranlardan denediğim yemeklerle kıyasladığımda, onun yemekleri kesinlikle daha tatmin edici.",onun yemekleri,2
"Eşsiz tatlar sunan bu mekan, kesinlikle görülmeye değer.",tatlar,2
Geniş bir yemek seçeneği ve içecek siparişi verdim ama tatlılar ve mezeler benim için pek tat vermedi.,Geniş yemek seçeneği ve içecek,1
Jumbo menü ile birlikte içecek aldım fakat hamburger ve patates kızartması hayal kırıklığı yarattı.,hamburger ve patates kızartması,0
Soslar pek başarılı değildi fakat patates kızartmalarının tadı mükemmeldi.,Soslar,0
Soslar pek başarılı değildi ama patates kızartması mükemmeldi.,patates kızartması,2
"Nachos'ları çok beğendim, gerçekten harika bir lezzet.",Nachos,2
Wi-Fi bağlantısını sağlamak için ağı test ettim fakat sürekli kesintilerle karşılaştım.,Wi-Fi,0
Restoranın atmosferi gerçekten harika ve yemekler lezzetliydi.,Atmosfer,2
Çalışanlar son derece nazik ve sundukları hizmet harikaydı.,Çalışanlar,2
Çok güzel bir restoran ama müzik seçimi pek hoş değil.,restoran,0
Muhteşem bir yer fakat ne yazık ki rock müzik çalmıyor.,rock müzik,0
"Bu restoranı kesinlikle tavsiye etmem, çünkü ziyaret ettiğimde büyük bir hayal kırıklığı yaşadım.",restoran,0
"Ortam fazlasıyla yoğun ama yemeklerin tadı hiç de güzel değil, fiyatlar da epey pahalı.",ortam,0
Ortam gerçekten hoş fakat maliyetler aşırı ve servis yetersiz.,ortam,0
"Geçen gün bu lokantada yemek yedim ama tam anlamıyla bir hayal kırıklığına uğradım, garsonlar son derece ilgisizdi, köfteler diğer şubelerine kıyasla başarısızdı, çok baharatlı ve rahatsız edici bir lezzetleri vardı. Manzara da pek tatmin edici değildi, çünkü tam tersine bir manzara sunuyordu. Kesinlikle gitmeye değmez, lezzet açısından kötüydü ve bu benim ilk ve son ziyaretim olacak. Ancak servis için başka bir şube gerçekten başarılı, salataları bile paket olarak gönderiyorlar.",köfteler,0
"Geçen hafta burada kahvaltı yapmayı denedim ama tam anlamıyla bir hayal kırıklığıydı, garsonlar son derece ilgisizdi ve omletler diğer mekanlara göre çok kötüydü, aşırı tuzlu ve rahatsız edici bir lezzeti vardı. Manzara da hiç etkileyici değildi, duvarlara bakmak zorunda kaldık, kesinlikle gitmeye değmez. Servis de kötüydü, bu benim buraya ilk ve son gelişim olacak ama başka bir şubesi gerçekten harikaydı, tatlıları bile hızlıca getiriyorlar.",manzara,0
"Geçen hafta bu restoranda yemek yedim ama maalesef beklentilerimin çok altında kaldı, servis çok yavaştı ve yemeklerin tadı oldukça sıradandı, aşırı tuzlu ve hoş olmayan bir aroması vardı, ortamı da pek çekici değildi, bu nedenle buraya tekrar gelmeyeceğim.",lezzet,0
"Geçen gün bu kafeye gittim ama gerçekten büyük bir hayal kırıklığına uğradım. Çalışanlar son derece ilgisizdi, yiyecekler diğer mekanlara göre oldukça yetersizdi, özellikle tatları çok yoğun ve rahatsız ediciydi. Manzara da pek hoş değildi, çünkü dışarıyı göremiyordum ve gitmeye değecek bir yer değil. Lezzet açısından da kötüydü, bu benim ilk ve son ziyaretim olacak. Ancak, başka bir kafe gerçekten harika, tatlıları bile paket servisle sunuyor.",başka bir kafe,2
"Geçen hafta yeni bir restorana gittim ama maalesef çok kötü bir deneyim yaşadım, garsonlar son derece ilgisizdi, yemekler diğer mekanlara göre oldukça vasattı, aşırı tuzlu ve tadı kötüydü. O mekan çok gürültülüydü ve manzarası da hoş değildi, bir daha asla gitmem, ama tatlıları gerçekten harikaydı, özellikle çikolatalı kekleri çok lezzetliydi.",garsonlar,0
"Ailenizle birlikte hoş vakit geçirebileceğiniz, güzel manzarasıyla dikkat çeken muhteşem bir yer olan Gökçe Restoran'ı tercih edebilirsiniz.",yer,2
Bahçedeki çiçeklerin renkleri göz alıcı bir güzellikte!,Bahçedeki çiçeklerin,2
"Tek sorun, siparişin geç gelmesi ve yemeklerin kalitesinin beklentilerin altında kalması.",siparişin,0
"Tek sorun, siparişin çok geç gelmesi ve yemeklerin maliyetinin beklentilerin altında kalması.",maliyet,0
"Ünlü olmanın getirdiği zorluklarla kalitesizleşen, hizmeti yetersiz bir yer haline dönüştü.",hizmeti,0
Baklavada fıstık bulmak oldukça zor.,fıstık,0
"Sipariş verdiğimiz tatlıların kalitesi oldukça düşük, bu konuda dikkatli olmalısınız.",tatlıların,0
Su böreği çok kötü bir tat bıraktı.,Su böreği,0
Mekan basit ama yemekler gerçekten harika.,yemekler,2
"Atmosfer vasat, tatlar da vasat.",mekan,1
İstanbul'daki ünlü lokantalarda bile tatlıların lezzeti beklentilerin altında kalıyor.,tatlı,0
Yemekler oldukça lezzetli ama sunum yetersiz.,yemekler,2
Bu noktada da aynı şekilde bir mesele mevcut.,Bu noktada,1
Her daim mutluluk getiren - Sıklıkla tercih ettiğim mekanlardan biridir.,mekanlardan,2
Bahçesi geniş ve huzur verici bir atmosfere sahip.,Bahçesi,2
Konukseverlikleri son derece hoştu.,konukseverlik,2
Dağ Yolu ve Harika Manzara benim için her zaman vazgeçilmezdir.,Dağ Yolu,2
Bu lokantanın pizzaları harika bir tat sunuyor.,Pizzalar,2
"Kesinlikle uğramaya değer - Manzara açısından muhteşem bir konumda yer alan ve dış görünüşüyle dikkat çeken, içeri girdiğinizde de sizi hayal kırıklığına uğratmayan bir mekan.",mekan,2
"Mutlaka uğrayın - Büyüleyici bir konuma sahip, dış görünüşüyle dikkat çeken ve içeri adım attığınızda sizi hayal kırıklığına uğratmayan bir yer.",Konum,2
"Bu lokanta muhteşem lezzetler hazırlıyor ve personel, hijyen, herkes çok kibar kesinlikle önerilir.",lezzetler,2
"Bu restoran muhteşem yemekler hazırlıyor, ayrıca atmosferi ve hizmeti de oldukça etkileyici. Kesinlikle gidilmeli.",atmosfer,2
"Görsel olarak harika bir yer, fakat yemek seçenekleri çok yetersiz - Çamlıca'daki manzara muhteşem ama burada sunulan yemekler hiç tatmin edici değil.",yemek,0
Muhteşem bir manzara ama yemek alternatifleri oldukça sınırlı - Otagtepe'nin görüntüsü gerçekten büyüleyici fakat bu harika manzaraya uygun lezzet çeşitliliği yok.,yemek alternatifleri,0
"Görülmeye değer bir manzara, ancak yemek seçenekleri oldukça kısıtlı - Otagtepe'deki manzara gerçekten muhteşem ama ne yazık ki bu manzaraya uygun lezzetli yemekler yok.",Otagtepe'deki manzara,0
"Görülmeye değer bir manzara mevcut, ancak yemeklerin tadı pek iyi değil - Bu mekandaki manzara kesinlikle muhteşem ama yemekler hayal kırıklığı yaratıyor.",manzara,2
Sunum tarzı kesinlikle tatmin edici değil.,Sunum tarzı,0
Deniz tabanlı malzemelerle hazırlanan pizzası oldukça tatmin edici değil.,Deniz tabanlı malzemelerle hazırlanan pizzası,0
"Yemekleri denemek yerine, burger, tatlı ya da içecek gibi alternatifler seçmek daha mantıklı.","burger, tatlı, içecek",1
"Aslında masayı ayırtmayı ihmal ettik, bu nedenle çok beklemek durumunda kaldık.",masayı ayırtma,0
Fırında hazırlanmış sebze yemeğini denedim fakat beğenmedim.,Fırında hazırlanmış sebze yemeği,0
"Son zamanlarda ziyaret ettiğimiz restoran, yemeklerin kalitesiz olması yüzünden artık gitmiyoruz.",yemekler,0
